,Date (Year/Month), PRIMARY DESCRIPTION,LATITUDE,LONGITUDE
1907,2019-08,MOTOR VEHICLE THEFT,41.662140383,-87.55441482100001
1910,2019-08,CRIMINAL DAMAGE,41.662236397,-87.55562501600001
1912,2019-08,BATTERY,41.662274536999995,-87.637795356
1932,2019-08,THEFT,41.662445426,-87.64383933100001
1957,2019-08,BATTERY,41.662849845,-87.642634629
1959,2019-08,THEFT,41.662849845,-87.642634629
1975,2019-08,ASSAULT,41.663207508,-87.626978114
1988,2019-08,BURGLARY,41.663269277,-87.634388411
1989,2019-08,CRIMINAL DAMAGE,41.663269589,-87.634439644
1997,2019-08,CRIMINAL DAMAGE,41.663287338,-87.633297613
2020,2019-08,WEAPONS VIOLATION,41.663434859,-87.62334515799999
2043,2019-08,BATTERY,41.664160134,-87.63783361899999
2056,2019-08,INTERFERENCE WITH PUBLIC OFFICER,41.664248094,-87.635592878
2069,2019-08,THEFT,41.664294511,-87.641455374
2070,2019-08,ASSAULT,41.664294511,-87.641455374
2089,2019-08,BATTERY,41.664440518,-87.624878548
2096,2019-08,BATTERY,41.66446989999999,-87.625192969
2097,2019-08,CRIMINAL DAMAGE,41.664480359,-87.639052549
2117,2019-08,ASSAULT,41.664569148000005,-87.637851177
2132,2019-08,BATTERY,41.664718295,-87.63664915
2152,2019-08,THEFT,41.665177123,-87.634023752
2156,2019-08,ROBBERY,41.665204103,-87.632145957
2161,2019-08,BATTERY,41.665407951,-87.625109493
2167,2019-08,THEFT,41.665424463,-87.62156290700001
2175,2019-08,BATTERY,41.66572039,-87.539377183
2182,2019-08,CRIMINAL DAMAGE,41.665814864,-87.55885388200001
2186,2019-08,CRIMINAL DAMAGE,41.665814864,-87.55885388200001
2206,2019-08,CRIMINAL DAMAGE,41.665928386,-87.620067782
2211,2019-08,BATTERY,41.666037675,-87.63790125
2232,2019-08,BATTERY,41.666091135,-87.633596633
2233,2019-08,BURGLARY,41.666091135,-87.633596633
2235,2019-08,THEFT,41.666117269000004,-87.630683068
2241,2019-08,ROBBERY,41.666128778,-87.62007655
2277,2019-08,THEFT,41.666348303,-87.62273122399999
2314,2019-08,BATTERY,41.666994454,-87.63366737
2315,2019-08,BATTERY,41.666994454,-87.63366737
2335,2019-08,BATTERY,41.667505513,-87.54956291
2348,2019-08,CRIMINAL DAMAGE,41.667827421999995,-87.634353751
2368,2019-08,BATTERY,41.66796186,-87.630747191
2379,2019-08,MOTOR VEHICLE THEFT,41.667997555999996,-87.630750463
2392,2019-08,WEAPONS VIOLATION,41.668035152,-87.63557028700001
2403,2019-08,BATTERY,41.668109266,-87.635573147
2405,2019-08,CRIMINAL DAMAGE,41.668109266,-87.635573147
2416,2019-08,CRIMINAL TRESPASS,41.668133569,-87.6247429
2420,2019-08,BURGLARY,41.668147685,-87.63557273200001
2428,2019-08,BATTERY,41.668183381,-87.63557600700001
2438,2019-08,THEFT,41.668224148,-87.624745566
2460,2019-08,ASSAULT,41.66827211,-87.634370901
